,Date,HIGH,CLOSE,OPEN,LOW,NUM_NEG,NUM_NEU,NUM_POS,TW,weekend,NUM_NEG1,NUM_NEG2,NUM_NEG3,NUM_NEU1,NUM_NEU2,NUM_NEU3,NUM_POS1,NUM_POS2,NUM_POS3,TW1,TW2,TW3,CLOSE1,CLOSE2,CLOSE3,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
10518,9/27/13,34.15,33.97,34.11,33.82,9,55,11,75,0,10,8,5,71,98,82,15,11,6,96,117,93,34.23,34.05,34.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10519,9/28/13,34.15,33.97,34.11,33.82,7,159,6,172,1,9,10,8,55,71,98,11,15,11,75,96,117,33.97,34.23,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10520,9/29/13,34.15,33.97,34.11,33.82,4,22,3,29,1,7,9,10,159,55,71,6,11,15,172,75,96,33.97,33.97,34.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10521,9/30/13,33.89,33.84,33.77,33.68,6,70,7,83,0,4,7,9,22,159,55,3,6,11,29,172,75,33.97,33.97,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10522,10/1/13,34.24,34.07,33.79,33.76,6,85,41,132,0,6,4,7,70,22,159,7,3,6,83,29,172,33.84,33.97,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10523,10/2/13,34.06,33.92,33.99,33.75,1,100,7,108,0,6,6,4,85,70,22,41,7,3,132,83,29,34.07,33.84,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10524,10/3/13,33.93,33.64,33.91,33.63,12,50,5,67,0,1,6,6,100,85,70,7,41,7,108,132,83,33.92,34.07,33.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10525,10/4/13,33.79,33.73,33.68,33.6,6,55,21,82,0,12,1,6,50,100,85,5,7,41,67,108,132,33.64,33.92,34.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10526,10/5/13,33.79,33.73,33.68,33.6,5,18,1,24,1,6,12,1,55,50,100,21,5,7,82,67,108,33.73,33.64,33.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10527,10/6/13,33.79,33.73,33.68,33.6,4,50,5,59,1,5,6,12,18,55,50,1,21,5,24,82,67,33.73,33.73,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10528,10/7/13,34.13,34,33.69,33.63,2,55,20,77,0,4,5,6,50,18,55,5,1,21,59,24,82,33.73,33.73,33.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10529,10/8/13,33.65,33.11,33.57,33.09,5,62,14,81,0,2,4,5,55,50,18,20,5,1,77,59,24,34,33.73,33.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10530,10/9/13,34.1,33.76,33.24,33.15,6,184,30,220,0,5,2,4,62,55,50,14,20,5,81,77,59,33.11,34,33.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10531,10/10/13,34.14,34.13,34.08,33.58,2,60,15,77,0,6,5,2,184,62,55,30,14,20,220,81,77,33.76,33.11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10532,10/11/13,34.25,34.19,34.13,33.93,5,41,6,52,0,2,6,5,60,184,62,15,30,14,77,220,81,34.13,33.76,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10533,10/12/13,34.25,34.19,34.13,33.93,3,23,5,31,1,5,2,6,41,60,184,6,15,30,52,77,220,34.19,34.13,33.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10534,10/13/13,34.25,34.19,34.13,33.93,4,30,2,36,1,3,5,2,23,41,60,5,6,15,31,52,77,34.19,34.19,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10535,10/14/13,34.1,33.93,34.02,33.87,7,83,6,96,0,4,3,5,30,23,41,2,5,6,36,31,52,34.19,34.19,34.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10536,10/15/13,34.12,33.71,33.88,33.71,6,82,11,99,0,7,4,3,83,30,23,6,2,5,96,36,31,33.93,34.19,34.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10537,10/16/13,34.19,34.17,33.9,33.89,5,63,6,74,0,6,7,4,82,83,30,11,6,2,99,96,36,33.71,33.93,34.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10538,10/17/13,34.44,34.43,34.37,34.13,3,46,18,67,0,5,6,7,63,82,83,6,11,6,74,99,96,34.17,33.71,33.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10539,10/18/13,34.88,34.58,34.52,34.37,3,55,13,71,0,3,5,6,46,63,82,18,6,11,67,74,99,34.43,34.17,33.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10540,10/19/13,34.88,34.58,34.52,34.37,1,31,2,34,1,3,3,5,55,46,63,13,18,6,71,67,74,34.58,34.43,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10541,10/20/13,34.88,34.58,34.52,34.37,3,91,48,142,1,1,3,3,31,55,46,2,13,18,34,71,67,34.58,34.58,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10542,10/21/13,35.3,35.21,35.06,34.88,8,110,42,160,0,3,1,3,91,31,55,48,2,13,142,34,71,34.58,34.58,34.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10543,10/22/13,35.38,35.22,35.35,35.06,2,71,17,90,0,8,3,1,110,91,31,42,48,2,160,142,34,35.21,34.58,34.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10544,10/23/13,35.36,35.28,35.07,34.91,30,211,81,322,0,2,8,3,71,110,91,17,42,48,90,160,142,35.22,35.21,34.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10545,10/24/13,35.01,34.62,35.01,34.23,10,103,35,148,0,30,2,8,211,71,110,81,17,42,322,90,160,35.28,35.22,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10546,10/25/13,35.24,35.21,34.68,34.65,4,62,14,80,0,10,30,2,103,211,71,35,81,17,148,322,90,34.62,35.28,35.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10547,10/26/13,35.24,35.21,34.68,34.65,1,23,2,26,1,4,10,30,62,103,211,14,35,81,80,148,322,35.21,34.62,35.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10548,10/27/13,35.24,35.21,34.68,34.65,2,23,5,30,1,1,4,10,23,62,103,2,14,35,26,80,148,35.21,35.21,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10549,10/28/13,35.57,35.56,35.27,35.24,3,80,10,93,0,2,1,4,23,23,62,5,2,14,30,26,80,35.21,35.21,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10550,10/29/13,36.47,36.28,35.66,35.65,5,77,23,105,0,3,2,1,80,23,23,10,5,2,93,30,26,35.56,35.21,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10551,10/30/13,36.4,36.25,36.32,35.96,19,86,7,112,0,5,3,2,77,80,23,23,10,5,105,93,30,36.28,35.56,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
